y,u
0.000000e+00, 0.0037674919268030145
1.023100e-06, 0.005801937567276642
1.823800e-06, 0.008589881593110874
2.802500e-06, 0.011302475780409044
3.603200e-06, 0.014843918191603878
4.626300e-06, 0.01831001076426265
5.516000e-06, 0.021550053821313243
6.361200e-06, 0.024337997847147474
7.206400e-06, 0.027351991388589885
8.096100e-06, 0.030139935414424116
9.074700e-06, 0.03307857911733047
9.919900e-06, 0.03601722282023682
1.081000e-05, 0.03925726587728741
1.174400e-05, 0.041969860064585585
1.254400e-05, 0.04438105489773951
1.347900e-05, 0.04679224973089344
1.436800e-05, 0.04867599569429495
1.521400e-05, 0.05033369214208827
1.614800e-05, 0.05184068891280948
1.703700e-05, 0.052744886975242204
1.801600e-05, 0.05395048439181917
1.886100e-05, 0.05470398277717977
1.970600e-05, 0.05560818083961249
2.059600e-05, 0.05613562970936491
2.153000e-05, 0.05681377825618946
2.237500e-05, 0.057491926803014
2.322100e-05, 0.05794402583423036
2.424400e-05, 0.05839612486544672
2.424400e-05, 0.05839612486544672
2.508900e-05, 0.05862217438105491
2.593400e-05, 0.05884822389666309
2.593400e-05, 0.05884822389666309
2.677900e-05, 0.05862217438105491
2.766900e-05, 0.058245425188374604
2.864800e-05, 0.05764262648008612
2.949300e-05, 0.057115177610333696
3.033800e-05, 0.056437029063509156
3.118300e-05, 0.05568353067814855
3.198400e-05, 0.05470398277717977
3.282900e-05, 0.05379978471474705
3.376300e-05, 0.052744886975242204
3.474200e-05, 0.051237890204521
3.572100e-05, 0.04950484391819161
3.656600e-05, 0.04731969860064586
3.750000e-05, 0.04551130247578042
3.834500e-05, 0.04340150699677073
3.834500e-05, 0.04340150699677073
3.923500e-05, 0.0413670613562971
4.030200e-05, 0.039181916038751353
4.110300e-05, 0.037147470398277725
4.190400e-05, 0.03466092572658774
4.283800e-05, 0.03157158234660926
4.372800e-05, 0.02840688912809473
4.457300e-05, 0.025016146393972018
4.550700e-05, 0.021550053821313243
4.635200e-05, 0.01815931108719053
4.737500e-05, 0.014617868675995696
4.813200e-05, 0.012131324004305707
4.906600e-05, 0.009569429494079656
5.000000e-05, 0.003918191603875135